time,tvlusd,tvleth
2021-04-23,57650059049,23878086.875970766
2021-04-22,57341278845,24297357.962779354
2021-04-21,57475892967,24628549.805674225
2021-04-20,55299795599,25544990.576034736
2021-04-19,57491318472,25598570.926318415
2021-04-18,60062301999,25830581.788976632
2021-04-17,61544900556,25338172.43571269
2021-04-16,62327221083,24771951.59178709
2021-04-15,59352308279,24401922.59073791
2021-04-14,56934537257,24758452.451295875
2021-04-13,54208053721,25352783.35056007
2021-04-12,53442103760,24863152.787922494
2021-04-11,53408596830,25036844.566847928
2021-04-10,52469474311,25389274.32062325
2021-04-09,52856953863,25410164.585727
2021-04-08,50576459525,25787343.801783513
2021-04-07,53216059295,25193538.43222285
2021-04-06,52971647236,25171613.66837418
2021-04-05,52229652731,25180867.97240355
2021-04-04,50359662614,25049573.524671707
2021-04-03,51141847237,23946624.105428763
2021-04-02,48487868083,24636266.586896323
2021-04-01,47526978460,24790691.53369881
2021-03-31,46980530515,25523048.451412763
2021-03-30,45444277917,25009233.348192174
2021-03-29,42697244284,25314971.946592037
2021-03-28,42993119237,25095213.189936955
2021-03-27,43233780242,25444657.113934778
2021-03-26,40626276773,25576694.161457058
2021-03-25,40328399478,25452938.582329288
2021-03-24,42165518024,25244278.287732746
2021-03-23,42774415502,25377728.700512014
2021-03-22,44980559951,25199193.249859944
2021-03-21,45916605412,25446034.243849993
2021-03-20,45394031117,25078328.2140667
2021-03-19,44172109660,24861884.201046884
2021-03-18,45053371069,24706137.44961805
2021-03-17,43978581816,24366485.204556532
2021-03-16,43518493667,24288533.24273189
2021-03-15,45276676034,24485526.106472265
2021-03-14,46488957473,24192208.504670464
2021-03-13,43242448202,24473763.619693365
2021-03-12,42364529351,23189171.525143538
2021-03-11,41869773366,23304097.784234162
2021-03-10,42791539323,22875102.54295275
2021-03-09,41351126120,22584889.629257422
2021-03-08,39639191729,22978175.92749322
2021-03-07,41384498906,25060099.494371474
2021-03-06,39987846557,26153111.89543424
2021-03-05,39970990324,25959234.117005248
2021-03-04,40968587353,26071559.16290673
2021-03-03,39426589289,26456359.194094952
2021-03-02,39587699391,25204499.631365158
2021-03-01,36605888968,25783152.76384742
2021-02-28,37262632401,25504009.035282847
2021-02-27,36686090538,25384257.54931741
2021-02-26,37505891786,25412906.228233036
2021-02-25,39760252960,24470709.16599479
2021-02-24,38274144239,24274842.543920845
2021-02-23,43109531822,24228093.778522134
2021-02-22,45801007414,23640815.85551547
2021-02-21,45407739799,23647031.761299428
2021-02-20,45154081241,23064037.7781864
2021-02-19,44716932762,23034055.2206208
2021-02-18,43967433503,23747567.313727085
2021-02-17,42719440092,23958498.36348749
2021-02-16,42738463516,24016579.293525293
2021-02-15,43248043289,23966640.965691518
2021-02-14,43599803684,23994828.807132445
2021-02-13,44588321660,24155328.92356032
2021-02-12,43377492353,24260478.164307404
2021-02-11,41554471538,23834485.18348571
2021-02-10,41743074542,23535655.833018534
2021-02-09,39876712716,22790860.452196967
2021-02-08,36651226096,22696225.11920538
2021-02-07,37428963902,22287901.140924413
2021-02-06,38164979496,22187909.57164783
2021-02-05,35390075465,22144678.758924495
2021-02-04,34482213313,20720491.607177187
2021-02-03,31897752885,21065607.07233475
2021-02-02,29966437843,21790603.434409536
2021-02-01,28954151008,22033110.37652574
2021-01-31,29716756404,21564978.776641674
2021-01-30,28931046777,20964982.410487186
2021-01-29,28214347957,21210127.539598417
2021-01-28,26198486504,20987163.848723475
2021-01-27,27740281154,20317340.721426737
2021-01-26,26944187750,20410562.566755805
2021-01-25,27550766206,19875173.10469704
2021-01-24,25231542284,20452424.2982321
2021-01-23,24688068576,19956727.59724513
2021-01-22,22648133086,20290935.14966358
2021-01-21,26206455455,19023959.53322928
2021-01-20,25882593855,18862802.066100642
2021-01-19,25269520527,20082110.550659213
2021-01-18,24769172192,20094408.90446521
2021-01-17,24255426727,19724830.426367614
2021-01-16,23397027126,19956352.40743426
2021-01-15,24280955029,19811484.194680158
2021-01-14,23391786772,20697765.60133078
2021-01-13,21511721088,20493013.39227025
2021-01-12,21574109268,19834248.95009746
2021-01-11,23926212300,19038315.24420325
2021-01-10,24169680569,18891418.2968579
2021-01-09,22958818535,18866643.549182355
2021-01-08,22769607703,18492782.008007992
2021-01-07,22462666921,18574779.76780148
2021-01-06,21214169122,19277021.255985964
2021-01-05,19526254821,18849919.702089045
2021-01-04,18969117103,19455704.266710427
2021-01-03,16791221957,21766922.851661246
2021-01-02,16106696954,22081815.376811396
2021-01-01,15803167340,21432382.64053706
2020-12-31,15749459877,20940089.18390682
2020-12-30,16474387582,22523840.723524105
2020-12-29,16221208494,22246737.288623735
2020-12-28,15780816341,23102104.175145295
2020-12-27,15495183507,24375377.160251066
2020-12-26,15347514713,24516013.406919904
2020-12-25,15006284333,24504056.716198567
2020-12-24,14634333958,22602684.27084298
2020-12-23,15290472417,24301836.356267583
2020-12-22,14760028437,24346840.256334126
2020-12-21,15072664826,23831430.464686073
2020-12-20,15393038440,23685605.933311798
2020-12-19,14878674529,23162517.16949997
2020-12-18,14668863136,22939095.088119857
2020-12-17,14551108821,23014074.400177136
2020-12-16,14219651089,24205721.48948847
2020-12-15,14030710100,23976742.36986911
2020-12-14,13872017468,23507112.90584965
2020-12-13,13500749456,23665596.438087225
2020-12-12,13061578621,23918800.58050103
2020-12-11,13305917818,23699625.637646064
2020-12-10,13558950007,23669285.16540106
2020-12-09,13265883312,23763763.45657781
2020-12-08,13924768161,23580519.137370456
2020-12-07,13746034842,23087834.394840267
2020-12-06,13597822040,22897738.553506777
2020-12-05,13016497436,22799561.114711598
2020-12-04,13680535217,22303159.844470896
2020-12-03,13379880405,22495889.84817661
2020-12-02,12982502572,22172603.108348135
2020-12-01,13374464160,21811288.76857092
2020-11-30,12565016693,21709486.66678185
2020-11-29,12090636197,22397947.790889394
2020-11-28,11670227406,22310171.110134013
2020-11-27,11755354186,22649135.26646372
2020-11-26,12474268724,21849798.959555797
2020-11-25,12855247304,21378024.219646443
2020-11-24,12907838585,21318708.746923875
2020-11-23,13027556159,23257678.72139108
2020-11-22,12952353672,23619303.534045734
2020-11-21,12801734270,25406819.755095553
2020-11-20,12294498313,26208693.90961415
2020-11-19,12416333405,26037691.15673363
2020-11-18,12319410380,25807919.513983455
2020-11-17,12656002706,27748306.744135056
2020-11-16,12392655945,27832403.415981673
2020-11-15,12666790677,27636835.19952872
2020-11-14,12872233453,27161767.9580511
2020-11-13,12469967655,27023442.745692927
2020-11-12,12556458540,27142643.998184208
2020-11-11,12332849346,27553898.313188404
2020-11-10,11930403168,26901177.406480413
2020-11-09,11704671138,25885554.410951637
2020-11-08,11290839685,25894639.554617804
2020-11-07,11633262830,25544031.509375963
2020-11-06,11070958221,26790625.83728584
2020-11-05,10690847454,26777326.12147777
2020-11-04,10476391398,27197277.77258567
2020-11-03,10435109336,27193884.595939856
2020-11-02,10697136144,27219175.93893131
2020-11-01,10593660517,27485303.471447475
2020-10-31,10481517519,27511266.74978346
2020-10-30,10555879673,27432832.64377972
2020-10-29,10770679327,27757336.615725584
2020-10-28,11041822597,27521990.520937193
2020-10-27,10833142046,27547022.443167374
2020-10-26,12054706848,29685546.808510646
2020-10-25,12080578486,29516659.709734168
2020-10-24,11963302915,29296688.906575248
2020-10-23,11972049033,29005570.037553
2020-10-22,11706141498,30089041.249196757
2020-10-21,11258274812,30679841.97732723
2020-10-20,11391364181,30169405.63854017
2020-10-19,11473803092,30458728.675338466
2020-10-18,11334090140,30754864.29870025
2020-10-17,11288767053,30897654.51335669
2020-10-16,11495240785,30759789.1011747
2020-10-15,11491172684,30464402.661717918
2020-10-14,11456615834,30152162.94873145
2020-10-13,11593989730,30152635.120022886
2020-10-12,11430228990,30598926.489091147
2020-10-11,11291980751,30513918.691563524
2020-10-10,11129183852,30489244.019505788
2020-10-09,10808377890,30781698.77253438
2020-10-08,10460338239,30651209.420693293
2020-10-07,10581637616,30988483.95466658
2020-10-06,10954530946,31100505.198307913
2020-10-05,11111492055,31494266.191434484
2020-10-04,11067641213,31864915.823568366
2020-10-03,10896828822,31407490.479896244
2020-10-02,11065321933,31232385.709447064
2020-10-01,11054773334,30603990.18326781
2020-09-30,11130319927,30892669.59116267
2020-09-29,11209367417,31556126.955126394
2020-09-28,11093598234,30978186.12716763
2020-09-27,11052519439,31033327.07847818
2020-09-26,10882739366,30666833.956096593
2020-09-25,10582484844,30190816.05614515
2020-09-24,10143189666,31123625.854556613
2020-09-23,10079947511,29095795.840549584
2020-09-22,9898049336,28919679.00426576
2020-09-21,10324557476,27740763.813208655
2020-09-20,10596579392,27475767.863717683
2020-09-19,10755241524,27916114.73512082
2020-09-18,10762443930,27653444.153241344
2020-09-17,10021713668,27428945.09127734
2020-09-16,10116621895,27711457.788917195
2020-09-15,10386344186,27451682.796352576
2020-09-14,10240475893,27725669.129551914
2020-09-13,10463193479,26799153.44363907
2020-09-12,10014346183,26602061.848851107
2020-09-11,9698322176,26154424.573231574
2020-09-10,8990086920,25397160.630544096
2020-09-09,8321220837,24566665.20134624
2020-09-08,8547769613,24207787.065986972
2020-09-07,8424856037,23694611.421419736
2020-09-06,7949610136,23525820.88721849
2020-09-05,8852522263,22779965.16559018
2020-09-04,8703697477,22435101.113545556
2020-09-03,9368803033,21254572.547017854
2020-09-02,9545612905,20166077.754304424
2020-09-01,8625694091,19873497.433357142
2020-08-31,8545501053,19936312.646976482
2020-08-30,8081788870,20128988.468244087
2020-08-29,7775138303,19587198.14334299
2020-08-28,7247720321,18856593.61275887
2020-08-27,7401598173,19046830.090066902
2020-08-26,7013415476,18165705.232076257
2020-08-25,6973091299,17059967.9478397
2020-08-24,6887508335,17591715.199734367
2020-08-23,6916358985,17490286.731236093
2020-08-22,6612131075,17028408.640226625
2020-08-21,6809785478,16368889.663958462
2020-08-20,6437522774,15795663.781131148
2020-08-19,6381270664,15039171.040041476
2020-08-18,6411067339,14875211.348291138
2020-08-17,6249954910,14596218.758027978
2020-08-16,5907832736,13694558.961520633
2020-08-15,5762175681,13228438.855345625
2020-08-14,5015811336,11905557.408022786
2020-08-13,4713917161,12162122.76116515
2020-08-12,4685839087,12344799.744454397
2020-08-11,4819886590,12196686.547902225
2020-08-10,4670548958,11981296.388076551
2020-08-09,4611881297,11715094.61477888
2020-08-08,4456093188,11746963.642115252
2020-08-07,4506955951,11452636.26915356
2020-08-06,4535026620,11361425.543641647
2020-08-05,4347959837,11181011.229974028
2020-08-04,4277783133,11065998.740202293
2020-08-03,4175084239,11236030.569460142
2020-08-02,4197764684,10851704.066385753
2020-08-01,3988580477,11512051.482090803
2020-07-31,3858234358,11532609.050963981
2020-07-30,3734409540,11723150.337466646
2020-07-29,3640480673,11516499.550789284
2020-07-28,3583939168,11182337.497659905
2020-07-27,3697671830,11928358.430917125
2020-07-26,3947728544,13081044.912024919
2020-07-25,3710337052,13341257.243536726
2020-07-24,3606134785,13140453.977334835
2020-07-23,3371526127,12838529.100186586
2020-07-22,3082385352,12589386.342100965
2020-07-21,2989656542,12635910.997464072
2020-07-20,2809807367,11801450.57331261
2020-07-19,2667937223,11293333.995089736
2020-07-18,2594853677,11193881.527975494
2020-07-17,2567242972,10937936.05726215
2020-07-16,2562475723,10735130.804356936
2020-07-15,2522096383,10494741.939913446
2020-07-14,2465351055,10271012.185976751
2020-07-13,2492024535,10284872.203879489
2020-07-12,2487531444,10382017.712854756
2020-07-11,2420730048,10027048.496396322
2020-07-10,2395197361,9895465.23858707
2020-07-09,2414748288,9805686.217818566
2020-07-08,2287687688,9555123.58198981
2020-07-07,2255276049,9368876.906779664
2020-07-06,2146663604,9365897.050610818
2020-07-05,2130313369,9207786.00017289
2020-07-04,2086920201,9187814.568107774
2020-07-03,1979157880,8700742.427572867
2020-07-02,1972705993,8471639.581722924
2020-07-01,1830150793,8059497.94345605
2020-06-30,1886051600,8271430.576265236
2020-06-29,1875134460,8281664.428937372
2020-06-28,1857990981,8332171.761065518
2020-06-27,1860746101,8050647.259118246
2020-06-26,1847463983,7871597.711972729
2020-06-25,1767299068,7490142.26742954
2020-06-24,1721730190,7085017.859347351
2020-06-23,1661166748,6868298.800959234
2020-06-22,1659922579,7224278.970274623
2020-06-21,1573792797,6839900.89530184
2020-06-20,1493186972,6496354.022188381
2020-06-19,1386622144,6000874.817154975
2020-06-18,1257099561,5395740.239505536
2020-06-17,1177272685,5010310.614120951
2020-06-16,1101087706,4769090.895703397
2020-06-15,1096214064,4711049.310241094
2020-06-14,1117297562,4704410.787368421
2020-06-13,1127784339,4733617.372507869
2020-06-12,1088484492,4712870.15933495
2020-06-11,1099438352,4476358.259028542
2020-06-10,1102669636,4520434.698479071
2020-06-09,1129613550,4587076.869974824
2020-06-08,1140548909,4680327.091796956
2020-06-07,1146512370,4755536.811978929
2020-06-06,1139185678,4743049.704388376
2020-06-05,1121658864,4632082.85773281
2020-06-04,1095656184,4511100.8893280625
2020-06-03,1052827037,4438188.335722114
2020-06-02,1070949794,4386441.916854394
2020-06-01,1040179816,4492247.099978406
2020-05-31,1071683801,4404421.342265328
2020-05-30,992491231,4521188.187864432
2020-05-29,987148651,4514124.067130054
2020-05-28,955939140,4607823.869661621
2020-05-27,944289811,4648010.489269541
2020-05-26,949810834,4599122.767770677
2020-05-25,942204694,4577809.221649985
2020-05-24,961765480,4590985.154422645
2020-05-23,969396491,4630285.111769201
2020-05-22,918764720,4569377.430745512
2020-05-21,952922023,4529742.943385463
2020-05-20,956642217,4475728.534668289
2020-05-19,950799785,4439048.4383024415
2020-05-18,924208839,4474504.183006535
2020-05-17,908748553,4525414.834918579
2020-05-16,888917036,4555978.863205372
2020-05-15,914219145,4507094.9763360275
2020-05-14,903924714,4516462.046567405
2020-05-13,884825935,4613033.392419581
2020-05-12,877928402,4698824.673517446
2020-05-11,895004605,4751311.806550938
2020-05-10,960800204,4589882.97902833
2020-05-09,961507266,4561229.914611005
2020-05-08,954384795,4520365.627812251
2020-05-07,928801058,4673683.178181453
2020-05-06,919099941,4477299.011106781
2020-05-05,914547988,4416825.9828069145
2020-05-04,924288954,4392382.046286176
2020-05-03,929522823,4358636.514114227
2020-05-02,909627020,4276572.73154678
2020-05-01,888104482,4295132.185520142
2020-04-30,939608826,4374546.42208669
2020-04-29,868050823,4423414.3039135765
2020-04-28,867348451,4422088.564290813
2020-04-27,833257098,4240709.949615755
2020-04-26,837215780,4310213.035420098
2020-04-25,819180009,4373158.279948751
2020-04-24,807507482,4363490.122122555
2020-04-23,821254290,4465765.579119086
2020-04-22,778176921,4486203.856796956
2020-04-21,779602025,4494937.874769372
2020-04-20,810618341,4448081.326821773
2020-04-19,844715441,4463961.533583469
