time,tvlusd,tvleth,category
2021-04-24,28242445474,12014734.041738313,lending
2021-04-23,29606653096,12312250.47137837,lending
2021-04-22,29015966937,12295005.439452875,lending
2021-04-21,28979584977,12417817.54245386,lending
2021-04-20,27597855376,12748454.996304506,lending
2021-04-19,28520337308,12698958.67455073,lending
2021-04-18,29647237352,12750183.788340133,lending
2021-04-17,30662670531,12623889.651864598,lending
2021-04-16,30962221814,12305933.85399278,lending
2021-04-15,29743310646,12228571.811633527,lending
2021-04-14,28489609299,12388941.25021743,lending
2021-04-13,26779745741,12524727.330168605,lending
2021-04-12,26324448441,12247062.476912702,lending
2021-04-11,26100137425,12235204.118226137,lending
2021-04-10,25441844138,12310966.872157168,lending
2021-04-09,25517100472,12266952.129413748,lending
2021-04-08,24372001181,12426515.803884178,lending
2021-04-07,25535640785,12089079.049278272,lending
2021-04-06,25409365343,12074284.288782656,lending
2021-04-05,24847531058,11979447.809736857,lending
2021-04-04,23865263847,11870903.226721048,lending
2021-04-03,24433513671,11440731.984960154,lending
2021-04-02,23018970831,11695740.076213703,lending
2021-04-01,22470301533,11720802.20590153,lending
2021-03-31,22220016955,12071438.170597214,lending
2021-03-30,21102096945,11613063.092289913,lending
2021-03-29,19790646009,11733770.104468055,lending
2021-03-28,19872192862,11599458.826756947,lending
2021-03-27,20350903467,11977249.219894886,lending
2021-03-26,19059844201,11999322.71957492,lending
2021-03-25,18791917401,11860364.548134027,lending
2021-03-24,19502333693,11675946.652098425,lending
2021-03-23,19663059743,11665940.720019462,lending
2021-03-22,20673223008,11581637.5394958,lending
2021-03-21,20970767160,11621565.977821743,lending
2021-03-20,20953923781,11576177.85911198,lending
2021-03-19,20181158419,11358787.875837227,lending
2021-03-18,20684515231,11342868.785404455,lending
2021-03-17,20123326153,11149398.382717963,lending
2021-03-16,19809777849,11056229.36993855,lending
2021-03-15,20708081868,11198884.803582245,lending
2021-03-14,21380231679,11125975.947232846,lending
2021-03-13,19889518092,11256794.759153087,lending
2021-03-12,19561321658,10707326.391557327,lending
