time,tvlusd,tvleth,dai,token
2021-04-06,8072213749,,72944714.453209,maker
2021-04-06,8003851750,3803352.8240560344,73108774.819132,maker
2021-04-05,7925895468,3821218.731257654,70494733.147336,maker
2021-04-04,7672016708,3816164.299641862,58290481.288087,maker
2021-04-03,8201987072,3840492.9024282894,67173741.01986,maker
2021-04-02,7649683416,3886738.0108223455,53366485.866569,maker
2021-04-01,7411024499,3865686.989927652,34877774.604584,maker
2021-03-31,7181214871,3901328.764987423,33888677.103068,maker
2021-03-30,7006882636,3856079.8172912886,30794003.406549,maker
2021-03-29,6544712738,3880325.818194754,26635397.655105,maker
2021-03-28,6575026021,3837862.4918281576,26014845.498364,maker
2021-03-27,6522052613,3838465.9284457336,23311089.158516,maker
2021-03-26,6107031536,3844745.0821891073,22678241.67862,maker
2021-03-25,6031793408,3806916.940477017,22637181.131331,maker
2021-03-24,6336299866,3793510.0676525175,22285879.980005,maker
2021-03-23,6554682732,3888842.3871706487,22266365.570463,maker
2021-03-22,6940688501,3888340.8969187676,21956116.795317,maker
2021-03-21,7061905391,3913562.0935787237,20929597.255069,maker
2021-03-20,7114558877,3930500.072924551,19866474.627322,maker
2021-03-19,7008932553,3944916.1664884337,19352030.55492,maker
2021-03-18,7155447967,3923867.99903486,19336691.825179,maker
2021-03-17,6957071802,3854589.6691192766,19267968.408415,maker
2021-03-16,6962924959,3886146.3272926165,18973561.82135,maker
2021-03-15,7217510415,3903213.644868911,16178472.492192,maker
2021-03-14,7437048886,3870137.0624203156,14976125.383729,maker
2021-03-13,6879556810,3893596.551002043,13742384.128784,maker
2021-03-12,7062493089,3865813.3619061694,11692256.598226,maker
2021-03-11,6861867360,3819214.0793801867,11998986.950925,maker
2021-03-10,7030655972,3758382.587963606,12011049.735781,maker
2021-03-09,6740069673,3681247.500163852,12156419.873531,maker
2021-03-08,6469060280,3750005.959143924,11458107.702045,maker
2021-03-07,6392911314,3871183.6031028028,10467384.109431,maker
2021-03-06,6011137557,3931443.342991125,11231563.829649,maker
2021-03-05,6150042381,3994156.4795812336,11078588.701006,maker
2021-03-04,6237858979,3969644.0597178293,10818797.236933,maker
2021-03-03,5975900617,4009998.736453615,10507807.925735,maker
2021-03-02,6169797991,3928156.3107228805,10178081.225911,maker
2021-03-01,5571529635,3924275.676874965,9993003.820215,maker
2021-02-28,5700869533,3901898.9993497827,10331195.531553,maker
2021-02-27,5684942302,3933590.0181977954,10342335.731899,maker
2021-02-26,5741121261,3890017.522664752,10383247.757215,maker
2021-02-25,6228048928,3833093.6712600244,10290456.795463,maker
2021-02-24,5929426920,3760656.3835859704,9821197.793251,maker
2021-02-23,6686807099,3758068.8684441247,10175052.732921,maker
2021-02-22,7159530336,3695489.4191610278,9250082.033816,maker
2021-02-21,7054215434,3673630.4682251606,8528125.460323,maker
2021-02-20,7139395637,3646697.8434647582,9042740.766084,maker
2021-02-19,7004098179,3607867.8536474807,9008652.439862,maker
2021-02-18,6664289361,3599497.3458640524,9298993.185022,maker
2021-02-17,6445892510,3615073.250479513,8536384.926433,maker
2021-02-16,6501607631,3653532.7281207503,9058953.178449,maker
2021-02-15,6561518931,3636177.6498883353,8939523.651483,maker
2021-02-14,6616967587,3641599.0682699983,8828011.438054,maker
2021-02-13,6703998666,3631831.9876483013,8477937.021472,maker
2021-02-12,6518767630,3645863.584248234,8355426.008712,maker
2021-02-11,6320737102,3625398.4043224393,8313441.574814,maker
2021-02-10,6415896568,3617422.414172225,8354604.821449,maker
2021-02-09,6229411413,3560314.693543962,8245541.254552,maker
2021-02-08,5726563320,3546167.0485367156,8252459.58971,maker
2021-02-07,6002396381,3574259.161932664,8259722.99913,maker
2021-02-06,6140784641,3570057.5792986373,8135704.168231,maker
2021-02-05,5678424204,3553167.892474329,8000665.505157,maker
2021-02-04,5823613649,3499431.334126526,7808882.972248,maker
2021-02-03,5364618684,3542849.8583419737,7654196.342034,maker
2021-02-02,4831791989,3513519.4800756252,7324877.579575,maker
2021-02-01,4681002985,3562081.8380361004,7142066.119691,maker
2021-01-31,4861551711,3527950.966248431,7275037.739412,maker
2021-01-30,4873295527,3531450.340949441,7185861.868732,maker
2021-01-29,4693737877,3528516.028807048,7026602.803336,maker
2021-01-28,4387783976,3514979.4329934074,6831209.362427,maker
2021-01-27,4700200217,3442487.4332588715,6988049.238637,maker
2021-01-26,4568653453,3460812.6996992677,7046505.71293,maker
2021-01-25,4699899432,3390516.0418124497,6703759.07351,maker
2021-01-24,4229548432,3428427.7254046868,6592793.470753,maker
2021-01-23,4222681635,3413426.484140072,6456194.185487,maker
2021-01-22,3839314717,3439722.190168164,6181160.768016,maker
2021-01-21,4553945728,3305829.717977569,6403399.404444,maker
2021-01-20,4579617482,3337548.7242648397,6355875.434576,maker
2021-01-19,4322630255,3435266.551962553,6175218.027724,maker
2021-01-18,4204484336,3410958.865524403,5954976.54395,maker
2021-01-17,4179914576,3399161.232505753,5489522.742101,maker
2021-01-16,3926459244,3349049.602101654,5027874.617003,maker
2021-01-15,4255755196,3472385.1142297653,4822838.324605,maker
2021-01-14,3982125906,3523506.322998513,4561989.848068,maker
2021-01-13,3737001694,3560032.479446704,4104651.303699,maker
2021-01-12,3889270149,3575617.0236825654,3941872.433995,maker
2021-01-11,4375643276,3481741.072934736,4009304.993797,maker
2021-01-10,4445511697,3474684.771768016,4007323.836392,maker
2021-01-09,4265747238,3505421.3476867448,3973765.994623,maker
2021-01-08,4263290841,3462514.997522883,4208797.535172,maker
2021-01-07,4229754611,3497659.5008723983,4206764.152342,maker
2021-01-06,3996928208,3631953.2281074794,4178800.733973,maker
2021-01-05,3752398158,3622425.529984168,4097185.762611,maker
2021-01-04,3557367450,3648619.421737659,4386912.159921,maker
2021-01-03,2988907152,3874602.5485798735,4516668.948334,maker
2021-01-02,2847518743,3903865.786046257,4525161.907919,maker
2021-01-01,2837827772,3848684.847087543,4457789.480782,maker
2020-12-31,2875561214,3823274.496091049,4867100.164004,maker
2020-12-30,2813933881,3847220.3125427254,4935246.185141,maker
2020-12-29,2800555255,3840849.2834121925,4923083.220499,maker
2020-12-28,2645807919,3873293.2981012748,4828076.441951,maker
2020-12-27,2551352685,4013517.0995296445,4741653.734686,maker
2020-12-26,2737861304,4373440.631289735,236545753.210642,maker
2020-12-25,2689068851,4391033.394839974,224657429.134266,maker
2020-12-24,2621472485,4048856.2768356344,243781296.486127,maker
2020-12-23,2783094074,4423296.737074651,248583166.957596,maker
2020-12-22,2715040560,4478491.290577989,247817263.821628,maker
2020-12-21,2792499351,4415228.154695084,241623413.035057,maker
2020-12-20,2899571270,4461633.922663836,265426340.433803,maker
2020-12-19,2865005241,4460123.98187932,255655027.705696,maker
2020-12-18,2840639452,4442177.822259058,260336354.971279,maker
2020-12-17,2822457231,4464006.248912648,276418413.488631,maker
2020-12-16,2651632859,4513801.785683888,277613847.753454,maker
2020-12-15,2646131553,4521910.442940634,280819910.335531,maker
2020-12-14,2649340565,4489494.619738358,283355807.731228,maker
2020-12-13,2620074267,4592753.938788389,301434173.190164,maker
2020-12-12,2508283355,4593252.554570759,293936735.136409,maker
2020-12-11,2594972546,4621994.417925335,313633428.242191,maker
2020-12-10,2649768811,4625589.265950947,318793173.409763,maker
2020-12-09,2590589240,4640637.073660075,316601830.149887,maker
2020-12-08,2712780972,4593885.003048161,310241299.50572,maker
2020-12-07,2749527673,4618105.534280628,307010616.964039,maker
2020-12-06,2716274783,4574008.222615139,299866280.54073,maker
2020-12-05,2635629317,4616540.815540103,301858801.542741,maker
2020-12-04,2802223693,4568420.89535206,316322234.009619,maker
2020-12-03,2747490110,4619416.09361602,305524617.021674,maker
2020-12-02,2758962180,4711986.234458259,345662226.202641,maker
2020-12-01,2842998127,4636406.541202563,358449427.521509,maker
2020-11-30,2684315335,4637885.440063582,343652765.102718,maker
2020-11-29,2542907597,4710745.6271651145,346482795.552376,maker
2020-11-28,2484075741,4748849.607142174,346407506.817582,maker
2020-11-27,2531123130,4876735.251050056,349448123.09293,maker
2020-11-26,2654297676,4649240.118407455,336754418.987467,maker
2020-11-25,2751720182,4576056.710957377,331439310.509063,maker
2020-11-24,2768470543,4572432.231159264,331013655.773012,maker
2020-11-23,2646822587,4725287.583461278,328875773.49647,maker
2020-11-22,2622743605,4782711.9971552575,335761823.545632,maker
2020-11-21,2496151843,4953960.035326572,336028024.780524,maker
2020-11-20,2370330576,5052932.372628437,333915490.81094,maker
2020-11-19,2410175956,5054263.213521788,342486645.287627,maker
2020-11-18,2398641888,5024912.303341364,348900468.80287844,maker
2020-11-17,2322781516,5092702.293356719,339907157.1910785,maker
2020-11-16,2293519690,5150967.277545704,352844377.06531966,maker
2020-11-15,2325522786,5073904.797853076,354982254.2055431,maker
2020-11-14,2372361051,5005931.613597518,358230575.4437414,maker
2020-11-13,2316551432,5020156.966085167,356829618.19648844,maker
2020-11-12,2321698426,5018694.853116016,358158699.5610403,maker
2020-11-11,2181008655,4872782.356621015,331907577.58420825,maker
2020-11-10,2159584951,4869523.441340278,318694579.77157885,maker
2020-11-09,2151240318,4757591.874737377,289003477.53003013,maker
2020-11-08,2102558741,4822050.64101094,287617880.8455159,maker
2020-11-07,2220667542,4876087.001010057,297908828.39171064,maker
2020-11-06,2094719854,5069015.230858581,283566926.9889314,maker
2020-11-05,2033198334,5092544.355666876,278863015.3548531,maker
2020-11-04,2014216002,5229013.504672897,287043829.4862801,maker
2020-11-03,2001638221,5216267.221744455,283186825.3704214,maker
2020-11-02,2012945618,5121999.0279898215,277375658.77873755,maker
2020-11-01,1979365420,5135473.159847443,269064646.3715673,maker
2020-10-31,1962440438,5150897.498622011,271006167.56669134,maker
2020-10-30,2014763438,5236007.791262766,273716673.51399976,maker
2020-10-29,2033476974,5240514.841635956,301264236.07074344,maker
2020-10-28,2110012143,5259252.599700897,323462909.453061,maker
2020-10-27,2077829181,5283601.640136297,331538602.9774457,maker
2020-10-26,2116839292,5212862.716706068,334440245.97683954,maker
2020-10-25,2128177354,5199807.843041439,337562554.0474483,maker
2020-10-24,2132229322,5221572.96926656,340971087.69406927,maker
2020-10-23,2096399515,5079102.398546335,316015239.3463928,maker
2020-10-22,2062949829,5302531.3687186735,302515090.622257,maker
2020-10-21,1960003672,5341191.606714629,296591547.3561,maker
2020-10-20,1972591032,5224299.570951851,287548559.15664357,maker
2020-10-19,1959108669,5200713.217414388,293743569.88329756,maker
2020-10-18,1937514585,5257413.467017611,292837868.50943995,maker
2020-10-17,1928598277,5278624.581234946,291864691.926767,maker
2020-10-16,1951465486,5221871.199593267,291330427.2670157,maker
2020-10-15,1966279452,5212829.936373277,293273688.9130366,maker
2020-10-14,1983843850,5221191.309611538,291219985.5074005,maker
2020-10-13,1972657498,5130315.201165119,275213617.05403465,maker
2020-10-12,1938471159,5189321.801632981,274170875.9103255,maker
2020-10-11,1912504569,5168093.198400259,267777987.2648673,maker
2020-10-10,1890049569,5177934.274834256,268247701.72870106,maker
2020-10-09,1833516456,5221759.621792499,267108508.05104345,maker
2020-10-08,1798535129,5270123.740733144,263505097.04100063,maker
2020-10-07,1819366587,5328042.249685184,267381652.44168657,maker
2020-10-06,1825904653,5183841.958379468,253211077.57087794,maker
2020-10-05,1841154210,5218543.153538732,255489189.08416376,maker
2020-10-04,1824414270,5252682.664900815,253425486.23252383,maker
2020-10-03,1824978689,5260062.513330451,251573284.92172742,maker
2020-10-02,1844746350,5206882.356261819,256668139.62912515,maker
2020-10-01,1924414076,5327540.21372017,280214577.1341038,maker
2020-09-30,1938817348,5381268.833439729,279170220.21259224,maker
2020-09-29,1924622303,5418113.571870953,277883781.08346456,maker
2020-09-28,1952477404,5452172.248750384,280143448.3217201,maker
2020-09-27,1955466614,5490570.304646919,283589655.453469,maker
2020-09-26,1937931153,5460960.782821879,287778043.05438155,maker
2020-09-25,1915059015,5463480.015405683,284773595.612177,maker
2020-09-24,1820623164,5586447.266032525,267191080.22088414,maker
2020-09-23,1805555239,5211740.09640919,238932843.29173344,maker
2020-09-22,1769564916,5170235.832408111,228855143.341523,maker
2020-09-21,1804710240,4849025.310333709,208050319.89325693,maker
2020-09-20,1790329371,4642127.650582104,179281843.78308845,maker
2020-09-19,1680511887,4361906.940587121,160536747.27637923,maker
2020-09-18,1597965976,4105876.2455355995,142445493.12005776,maker
2020-09-17,1478608118,4046878.829679503,141990868.10767108,maker
2020-09-16,1486139934,4070835.549346701,111100562.68563381,maker
2020-09-15,1454540236,3844430.384564556,113217587.8926126,maker
2020-09-14,1386654507,3754310.2937593064,139792976.6704046,maker
2020-09-13,1441197229,3691307.606997413,137965199.2903684,maker
2020-09-12,1385208445,3679661.163501129,132774580.09342878,maker
2020-09-11,1362573839,3674587.629783447,135846085.96366423,maker
2020-09-10,1291614205,3648833.8465450024,145298317.3273105,maker
2020-09-09,1238171630,3655442.9322153986,129529990.6396785,maker
2020-09-08,1292206553,3659605.07788162,140914230.76073304,maker
2020-09-07,1287614423,3621370.2975587803,133506108.76672293,maker
2020-09-06,1283826589,3799315.1697197477,144135677.34044832,maker
2020-09-05,1418790675,3650937.1220503845,149154707.63130656,maker
2020-09-04,1452413798,3743816.98156979,167173251.96871546,maker
2020-09-03,1550099656,3516639.7967286007,166705825.09239686,maker
2020-09-02,1599333502,3378754.625541354,175564602.57862532,maker
2020-09-01,1487709647,3427665.477040758,188527131.87971282,maker
2020-08-31,1475561772,3442426.6797312433,187213385.88425204,maker
2020-08-30,1421459273,3540371.788293898,196404472.73251274,maker
2020-08-29,1437448237,3621232.4902380654,204778087.075361,maker
2020-08-28,1397841654,3636803.137683422,202710443.38097286,maker
2020-08-27,1420711392,3655973.7313432833,212416456.2949773,maker
2020-08-26,1408663986,3648632.371529217,206043385.81242836,maker
2020-08-25,1450828811,3549515.1220824975,188318267.712403,maker
2020-08-24,1420018732,3626937.913771966,215216136.67339283,maker
2020-08-23,1435819926,3630942.5601861216,214105529.01708874,maker
2020-08-22,1400516853,3606790.7622971926,211811603.98391196,maker
2020-08-21,1468198563,3529153.797894332,211329946.81042647,maker
2020-08-20,1418461405,3480459.833149307,197688836.9069319,maker
2020-08-19,1469210595,3462587.7188847777,194628489.49062046,maker
2020-08-18,1497795630,3475244.506833105,205682145.11104557,maker
2020-08-17,1474444519,3443435.2016628133,201674715.66628882,maker
2020-08-16,1474144037,3417116.4510894762,194860339.41150704,maker
2020-08-15,1494288348,3430492.775316238,199750521.6222017,maker
2020-08-14,1538341733,3651416.4087348683,245387229.99012628,maker
2020-08-13,1441927394,3720238.8967723628,253447717.91234776,maker
2020-08-12,1426861667,3759053.8674324253,252431020.25377333,maker
2020-08-11,1460289069,3695250.4403056833,250005160.12350544,maker
2020-08-10,1336326994,3428061.6540967626,211909369.74051592,maker
2020-08-09,1344558755,3415446.325602662,212374812.1232922,maker
2020-08-08,1307256320,3446133.600463964,211422007.40887278,maker
2020-08-07,1324068513,3364593.5837166165,200217355.08994308,maker
2020-08-06,1392096472,3487565.0666399435,215955177.35566583,maker
2020-08-05,1353221553,3479881.5876771156,217795057.02952805,maker
2020-08-04,1348999596,3489664.4747393746,217355345.821072,maker
2020-08-03,1261187857,3394122.0114107328,173158797.77658632,maker
2020-08-02,1281597669,3313077.240648347,151410897.7281198,maker
2020-08-01,1211296789,3496108.722255895,170776533.97987515,maker
2020-07-31,1105771124,3305249.2123748315,143408839.49011758,maker
2020-07-30,1059575779,3326246.3632082874,153197723.20186204,maker
2020-07-29,1025672381,3244669.2005947297,161798282.47444668,maker
2020-07-28,1017144308,3173617.1856474257,149061102.72622925,maker
2020-07-27,970293268,3130079.2541694893,138966732.14398852,maker
2020-07-26,883340083,2927002.495112495,87913488.10353589,maker
2020-07-25,814239320,2927759.951098486,46864451.93910159,maker
2020-07-24,763846192,2783391.728309587,33217737.354251362,maker
2020-07-23,689935311,2627224.0622977037,31741779.07465576,maker
2020-07-22,643618841,2628732.400751511,38156264.76118396,maker
2020-07-21,626437663,2647665.5240912936,45187976.18485023,maker
2020-07-20,654713343,2749856.5374438236,65699753.60900759,maker
2020-07-19,650402057,2753141.114967829,89201476.58900553,maker
2020-07-18,642830395,2773091.734610241,95828537.68714792,maker
2020-07-17,628506172,2677798.866686549,86662898.85182497,maker
2020-07-16,632349508,2649139.1202346045,87238987.30558349,maker
2020-07-15,633312320,2635287.6165113184,85175161.31327085,maker
2020-07-14,634219541,2642251.1394409034,81272770.5550715,maker
2020-07-13,630913414,2603852.3070573667,77290998.99744663,maker
2020-07-12,645144596,2692590.1335559264,83907073.27528158,maker
2020-07-11,626101680,2593412.6418689424,75223681.08778244,maker
2020-07-10,621215341,2566475.2778351577,72124270.01652744,maker
2020-07-09,628542855,2552354.6454966296,71280210.41314313,maker
2020-07-08,605952037,2530916.535794838,65395701.3374249,maker
2020-07-07,586506195,2436466.413260219,58200805.6110561,maker
2020-07-06,555332862,2422918.2460732986,55814475.08663466,maker
2020-07-05,557534467,2409813.5676002763,54034598.57181459,maker
2020-07-04,526707604,2318867.676322973,47446330.676100686,maker
2020-07-03,485686617,2135167.78915901,28319545.479479082,maker
2020-07-02,491905599,2112452.112857511,32117338.608078737,maker
2020-07-01,445874136,1963511.2559450413,17567142.531416103,maker
2020-06-30,446823725,1959581.2867292343,16313517.805258358,maker
2020-06-29,447027186,1974327.2944086213,16893684.023398913,maker
2020-06-28,445088269,1996001.0269518811,18704885.532233104,maker
2020-06-27,456274676,1974104.0799550037,19586892.4747893,maker
2020-06-26,463060030,1972986.919471666,20036378.77564789,maker
2020-06-25,460615597,1952174.6005509642,16912814.210539155,maker
2020-06-24,471762095,1941327.9083165303,17895912.413347304,maker
2020-06-23,469215786,1940030.5383279582,14813646.667081699,maker
2020-06-22,437327152,1903325.7257257255,18022064.716408808,maker
2020-06-21,478956217,2081603.7941674998,17803926.86835105,maker
2020-06-20,498492186,2168771.7467913856,18110074.49758394,maker
2020-06-19,495732665,2145378.7380447485,18101208.842660114,maker
2020-06-18,492761689,2115038.5827109623,15147147.400301402,maker
2020-06-17,491987998,2093833.2467974636,12205163.129267704,maker
2020-06-16,480552605,2081395.551801802,10010582.588918686,maker
2020-06-15,486875402,2092377.8503588466,9528572.58032778,maker
2020-06-14,514600046,2166737.035789474,8764755.539736368,maker
2020-06-13,519063002,2178648.4868835257,10467996.377561323,maker
2020-06-12,502773710,2176886.517145826,9794361.481650602,maker
2020-06-11,498181442,2028343.4795000202,10001784.357466077,maker
2020-06-10,495092062,2029648.103964252,9882554.520140415,maker
2020-06-09,532406239,2161967.997238691,9528636.041277211,maker
2020-06-08,539514739,2213938.7705691657,19205324.562394857,maker
2020-06-07,532949447,2210582.9648678917,19187761.960471574,maker
2020-06-06,531353259,2212312.677991506,19531837.500362303,maker
2020-06-05,536829474,2216929.4817262026,19321582.47267719,maker
2020-06-04,536992001,2210935.4454874834,18963979.962949306,maker
2020-06-03,515202147,2171832.674310766,8837988.030362621,maker
2020-06-02,529706079,2169592.7872209707,10484272.846265607,maker
2020-06-01,510769240,2205870.179226949,10158826.530810406,maker
2020-05-31,530284638,2179371.354594772,11322457.764724962,maker
2020-05-30,487255358,2219639.932580175,11484678.79884703,maker
2020-05-29,483178173,2209521.5520395096,11688424.99476585,maker
2020-05-28,460596388,2220169.613419454,11711970.645833345,maker
2020-05-27,450645745,2218181.457964166,12062095.648703001,maker
2020-05-26,458340358,2219350.9490606235,11558979.207856921,maker
2020-05-25,456870949,2219759.7366631036,11611620.149893992,maker
2020-05-24,466146521,2225149.272041625,11922828.63009454,maker
2020-05-23,471249204,2250903.7256400455,14539757.795256149,maker
2020-05-22,437949432,2178094.3551996816,12039810.834842127,maker
