time,tvlusd,tvleth,dai,token
2020-45,3049458930,6561503.883808499,206903403.94301292,uniswap
2020-45,2974271097,6645079.418664402,202186446.04379892,uniswap
2020-45,2936889296,6622222.138041444,201916820.104291,uniswap
2020-45,2824867051,6247356.195678616,200812440.845444,uniswap
2020-45,2743119216,6291124.9592917925,194791579.524836,uniswap
2020-44,2812895458,6176486.447674674,191803809.10860503,uniswap
2020-44,2738897377,6627861.235601587,202089920.89048892,uniswap
2020-44,2698250549,6758298.181590483,200381079.141932,uniswap
2020-44,2629145574,6825403.878504672,190120381.003694,uniswap
2020-44,2644990149,6892841.70901415,188127815.280193,uniswap
2020-44,2753434722,7006195.221374046,190128647.693039,uniswap
2020-44,2735664812,7097695.591936279,190281051.651038,uniswap
2020-43,2657920256,6976351.75726397,189250196.596589,uniswap
2020-43,2685294092,6978596.3564541675,190498444.94735602,uniswap
2020-43,2719496883,7008470.692987656,197289845.42533505,uniswap
2020-43,2776020562,6919293.52442672,201142420.325758,uniswap
2020-43,2729321266,6940246.315414739,206652442.650863,uniswap
2020-43,2703236193,6656905.518617023,221306992.866534,uniswap
2020-43,2659858627,6498872.720387021,222106034.082923,uniswap
2020-42,2576998365,6310758.8220888935,220441167.821432,uniswap
2020-42,2674907524,6480696.605693519,220268131.430971,uniswap
2020-42,2703115063,6947988.852332605,216202542.74423,uniswap
2020-42,2669831356,7275537.813385655,210200429.152107,uniswap
2020-42,2737634265,7250474.773557923,213125805.49353895,uniswap
2020-42,2717199842,7213166.556941864,212103767.216555,uniswap
2020-42,2668959857,7242177.996363932,207207470.811856,uniswap
2020-41,2662574062,7287535.7510400675,207415147.939448,uniswap
2020-41,2750209318,7359207.187391292,213957584.626816,uniswap
2020-41,2728715515,7234134.451219512,213097163.425407,uniswap
2020-41,2597948796,6837427.087061796,214805686.96056,uniswap
2020-41,2633419741,6848767.8890015865,211381823.52910802,uniswap
2020-41,2629159684,7038307.278811404,211810742.85241398,uniswap
2020-41,2527921751,6831113.200562071,207590370.63929495,uniswap
2020-40,2414331683,6614244.926305409,206223643.78481,uniswap
2020-40,2349870845,6692310.098823798,199022814.514411,uniswap
2020-40,2234811263,6548513.67831922,192867189.297572,uniswap
2020-40,2245703753,6576577.014086156,192298714.02092692,uniswap
2020-40,2381820104,6762115.958322686,199783300.85654,uniswap
2020-40,2283622202,6472668.580822539,193603698.58686,uniswap
2020-40,2266998943,6526930.996458701,188336141.06565905,uniswap
2020-39,2169500825,6253064.778786569,183428598.27377,uniswap
2020-39,2203579026,6219704.2705128575,188261938.92687505,uniswap
2020-39,2179072914,6032536.720004429,192367383.21906,uniswap
2020-39,2109772314,5855761.50878459,192856788.180557,uniswap
2020-39,2079539422,5854229.55351613,191282066.767479,uniswap
2020-39,2017564883,5633925.003490548,193297866.00843602,uniswap
2020-39,1977344852,5552000.146005897,193297866.00843602,uniswap
2020-38,1913310497,5391581.415729703,187756552.44975305,uniswap
2020-38,1875895250,5351749.543535319,187756552.44975305,uniswap
2020-38,1875895017,5756044.851181344,156765816.07029697,uniswap
2020-38,1724227365,4976986.9674402485,156765816.07029697,uniswap
2020-38,1794438728,5242911.026704844,165705048.662178,uniswap
2020-38,1789554262,4808303.13826643,165705048.662178,uniswap
2020-38,1937375614,5023402.426945317,152942543.75281,uniswap
2020-37,1964735900,5099633.763334804,152942543.75281,uniswap
2020-37,1725797521,4434331.614378581,159413211.737528,uniswap
2020-37,748738877,2049262.0549032488,167029470.568903,uniswap
2020-37,786759204,2155091.363300189,164342495.186445,uniswap
2020-37,941823639,2489292.0285449983,170129789.679751,uniswap
2020-37,883489233,2392010.9191823467,146461957.613365,uniswap
2020-37,542197424,1388718.653791973,86275626.180896,uniswap
2020-36,617060718,1639157.173595431,86275626.180896,uniswap
2020-36,963363470,2597997.545913001,20209158.765539,uniswap
2020-36,401376726,1133896.621278038,20209158.765539,uniswap
2020-36,1436882615,4242095.580420407,25002156.362765,uniswap
