time,tvlusd,tvleth,dai,token
2020-11-11,2273140020,4985393.499429775,329912360.5086362,maker
2020-11-11,2181008655,4872782.356621015,331907577.58420825,maker
2020-11-10,2159584951,4869523.441340278,318694579.77157885,maker
2020-11-09,2151240318,4757591.874737377,289003477.53003013,maker
2020-11-08,2102558741,4822050.64101094,287617880.84551585,maker
2020-11-07,2220667542,4876087.001010057,297908828.39171064,maker
2020-11-06,2094719854,5069015.230858581,283566926.9889314,maker
2020-11-05,2033198334,5092544.355666876,278863015.3548531,maker
2020-11-04,2014216002,5229013.504672897,287043829.48628014,maker
2020-11-03,2001638221,5216267.221744455,283186825.3704214,maker
2020-11-02,2012945618,5121999.0279898215,277375658.77873755,maker
2020-11-01,1979365420,5135473.159847443,269064646.3715673,maker
2020-10-31,1962440438,5150897.498622011,271006167.56669134,maker
2020-10-30,2014763438,5236007.791262766,273716673.51399976,maker
2020-10-29,2033476974,5240514.841635956,301264236.07074344,maker
2020-10-28,2110012143,5259252.599700897,323462909.453061,maker
2020-10-27,2077829181,5283601.640136297,331538602.9774457,maker
2020-10-26,2116839292,5212862.716706068,334440245.97683954,maker
2020-10-25,2128177354,5199807.843041439,337562554.0474483,maker
2020-10-24,2132229322,5221572.96926656,340971087.69406927,maker
2020-10-23,2096399515,5079102.398546335,316015239.3463928,maker
2020-10-22,2062949829,5302531.3687186735,302515090.622257,maker
2020-10-21,1960003672,5341191.606714629,296591547.3561,maker
2020-10-20,1972591032,5224299.570951851,287548559.1566436,maker
2020-10-19,1959108669,5200713.217414388,293743569.8832976,maker
2020-10-18,1937514585,5257413.4670176115,292837868.50943995,maker
2020-10-17,1928598277,5278624.581234946,291864691.926767,maker
2020-10-16,1951465486,5221871.1995932665,291330427.2670157,maker
2020-10-15,1966279452,5212829.936373277,293273688.91303664,maker
2020-10-14,1983843850,5221191.309611538,291219985.5074005,maker
2020-10-13,1972657498,5130315.201165119,275213617.05403465,maker
2020-10-12,1938471159,5189321.801632981,274170875.91032547,maker
2020-10-11,1912504569,5168093.198400259,267777987.26486734,maker
2020-10-10,1890049569,5177934.274834257,268247701.72870103,maker
2020-10-09,1833516456,5221759.621792499,267108508.05104345,maker
2020-10-08,1798535129,5270123.740733144,263505097.04100063,maker
2020-10-07,1819366587,5328042.249685184,267381652.44168657,maker
2020-10-06,1825904653,5183841.958379468,253211077.57087797,maker
2020-10-05,1841154210,5218543.153538732,255489189.08416376,maker
2020-10-04,1824414270,5252682.664900815,253425486.23252383,maker
2020-10-03,1824978689,5260062.513330451,251573284.92172745,maker
2020-10-02,1844746350,5206882.356261819,256668139.62912515,maker
2020-10-01,1924414076,5327540.21372017,280214577.13410383,maker
2020-09-30,1938817348,5381268.833439729,279170220.21259224,maker
2020-09-29,1924622303,5418113.571870953,277883781.08346456,maker
2020-09-28,1952477404,5452172.248750384,280143448.3217201,maker
2020-09-27,1955466614,5490570.304646919,283589655.453469,maker
2020-09-26,1937931153,5460960.782821879,287778043.05438155,maker
2020-09-25,1915059015,5463480.015405683,284773595.612177,maker
2020-09-24,1820623164,5586447.266032525,267191080.2208841,maker
2020-09-23,1805555239,5211740.09640919,238932843.29173344,maker
2020-09-22,1769564916,5170235.832408112,228855143.341523,maker
2020-09-21,1804710240,4849025.310333708,208050319.89325693,maker
2020-09-20,1790329371,4642127.650582104,179281843.78308845,maker
2020-09-19,1680511887,4361906.940587121,160536747.27637923,maker
2020-09-18,1597965976,4105876.2455356,142445493.12005776,maker
2020-09-17,1478608118,4046878.829679503,141990868.10767108,maker
2020-09-16,1486139934,4070835.5493467012,111100562.6856338,maker
2020-09-15,1454540236,3844430.384564556,113217587.89261259,maker
2020-09-14,1386654507,3754310.2937593055,139792976.67040458,maker
2020-09-13,1441197229,3691307.606997413,137965199.2903684,maker
2020-09-12,1385208445,3679661.1635011286,132774580.09342878,maker
2020-09-11,1362573839,3674587.629783447,135846085.96366423,maker
